,endorsement_count,name,perfil_id,area
597,1,Product Development,29,Gestão
598,1,Project Planning,29,Gestão
599,1,Microsoft Project,29,Gestão
600,4,Software Project Management,29,Gestão
601,1,Project Estimation,29,Gestão
602,0,Marketing digital,30,Marketing
604,0,Desenho mecânico,30,Design
606,0,SolidWorks,30,Softwares
608,0,Microsoft Project,30,Gestão
609,31,JavaScript,31,Front End
612,9,Node.js,31,Front End
615,28,PHP,31,Back End
618,29,MySQL,31,Banco de Dados e Web Services
619,0,React.js,31,Front End
620,0,Python,31,Back End
621,0,Docker,31,Banco de Dados e Web Services
622,21,HTML,31,Front End
623,4,SASS,31,Front End
624,25,jQuery,31,Front End
625,22,CSS,31,Front End
626,1,Git,31,Ferramenta de Versionamento de Software
627,16,Web Design,31,Design
628,0,WebRTC,31,Softwares
629,0,Apache Cordova,31,Softwares
630,0,Electron,31,Softwares
631,2,WebSockets,31,Web Services
632,16,Java,31,Back End
633,0,Gulp.js,31,Front End
634,0,GruntJS,31,Front End
635,1,NoSQL,31,Banco de Dados e Web Services
636,7,PostgreSQL,31,Banco de Dados e Web Services
637,1,SEO,31,Analista
638,13,JSON,31,Web Services
639,6,XML,31,Web Services
640,4,OOP,31,Back End
641,6,Software Engineering,31,Engeharia
642,0,Scrum,31,Metodologias Gerenciemento de Software
643,5,Web Services,31,Web Services
644,4,Facebook API,31,Marketing
645,2,C++,31,Linguagens de Programação e AEDS
646,2,Linguagem C,31,Linguagens de Programação e AEDS
647,6,HTML 5,31,Front End
648,17,AJAX,31,Front End
649,3,Photoshop,31,Softwares
650,3,UML,31,Back End
651,4,Microsoft SQL Server,31,Banco de Dados e Web Services
652,2,WordPress,31,Front End
653,1,Linux Server,31,SO
654,1,Apache,31,Softwares
655,1,Shell Scripting,31,Softwares
656,3,Delphi,31,Linguagens de Programação e AEDS
657,1,Material Design,31,Design
658,9,Estratégia empresarial,32,Gestão
660,5,Planejamento empresarial,32,Gestão
662,4,Liderança de equipe,32,Soft Skills
664,4,Negociação,32,Negócio
665,1,Cartões de crédito,32,Negócio
666,1,Português,32,Idioma
667,1,Gestão de vendas,32,Gestão
668,0,Credit Cards,32,
669,0,PMI,32,Gestão
670,0,Business Planning,32,Gestão
671,0,Negotiation,32,Negócio
672,0,DOS,32,Softwares
673,0,Portuguese,32,Idioma
674,0,COBIT,32,Analista
675,0,Business Strategy,32,Gestão
676,0,Sales Management,32,Gestão
677,0,Team Leadership,32,Gestão
678,0,Portfolio Management,32,Gestão
679,34,User Interface Design,33,UX
682,31,Interaction Design,33,Design
685,28,Information Architecture,33,Analista
688,27,User Experience,33,UX
689,14,CSS,33,Front End
690,12,Web Development,33,Analista
691,10,Agile Project Management,33,Gestão
692,11,Front-end,33,
693,11,Usability Testing,33,UX
694,3,A/B Testing,33,Testing
695,6,HTML,33,Front End
696,7,Graphic Design,33,Design
697,4,Prototyping,33,Arquitetura de Software
698,5,JavaScript,33,Front End
699,5,PHP,33,Back End
700,2,Git,33,Ferramenta de Versionamento de Software
701,4,Visual Design,33,Design
702,2,Photoshop,33,Softwares
703,6,User Experience Design,33,UX
704,3,Front-end Development,33,Analista
705,8,Product Management,34,Gestão
708,14,Mobile Devices,34,Mobile
711,15,Web Development,34,Analista
714,10,Agile Methodologies,34,Gestão
715,7,Android Development,34,Mobile
716,3,Mobile Application Development,34,Mobile
717,11,Java,34,Back End
718,5,Distributed Systems,34,Analista
719,5,Ruby on Rails,34,Linguagens de Programação e AEDS
720,3,Git,34,Ferramenta de Versionamento de Software
721,2,Ruby,34,Linguagens de Programação e AEDS
722,3,Mobile Applications,34,Mobile
723,1,Heroku,34,Softwares
724,1,Software Development,34,Analista
725,2,Scrum,34,Metodologias Gerenciemento de Software
726,0,Customer Focused Design,34,Comercial
727,0,Customer development,34,Comercial
728,0,Start-ups,34,Empreendedorismo e Inovação
729,0,Mobile Product Development,34,Mobile
730,0,Data Analysis,34,Data Science
731,0,Hypothesis Testing,34,Testing
732,0,User Experience,34,UX
733,0,Cross-functional Team Leadership,34,Gestão
734,0,Lean Startup,34,Gestão
735,0,Entrepreneurship,34,Empreendedorismo e Inovação
736,90,Linux,35,SO
739,26,Open Source,35,Linguagens de Programação e AEDS
741,19,MySQL,35,Banco de Dados e Web Services
744,15,PHP,35,Back End
745,54,Python,35,Back End
746,36,Java,35,Back End
747,29,C++,35,Linguagens de Programação e AEDS
748,9,Operating Systems,35,Analista
749,13,Bash,35,Softwares
750,17,Distributed Systems,35,Analista
751,1,Amazon Web Services,35,Web Services
752,3,Chrome Extensions,35,Softwares
753,10,Git,35,Ferramenta de Versionamento de Software
754,15,Computer Science,35,Analista
755,16,Software Development,35,Analista
756,2,MongoDB,35,Banco de Dados e Web Services
757,13,Linguagem C,35,Linguagens de Programação e AEDS
758,10,Shell Scripting,35,Softwares
759,8,Programming,35,Linguagens de Programação e AEDS
760,6,Linux development,35,SO
761,5,Algorithms,35,Linguagens de Programação e AEDS
762,5,Eclipse,35,Softwares
763,5,UML,35,Back End
764,4,Android,35,Mobile
765,5,JavaScript,35,Front End
766,4,Parallel Programming,35,Linguagens de Programação e AEDS
767,3,Compilers,35,Softwares
768,3,Objective-C,35,
769,3,Perl,35,Linguagens de Programação e AEDS
770,3,Heroku,35,Softwares
771,3,CVS,35,Softwares
772,2,PostgreSQL,35,Banco de Dados e Web Services
773,2,Object Oriented Design,35,Design
774,1,Multithreading,35,Analista
775,1,Parallel Computing,35,Analista
776,1,Scalability,35,Arquitetura de Software
777,21,Software Engineering,35,Engeharia
778,1,Flask,35,Softwares
779,1,Unix Shell Scripting,35,Softwares
780,1,REST,35,Web Services
781,1,Escalabilidade,35,UX
782,2,Algoritmo,35,Linguagens de Programação e AEDS
783,2,C (linguagem de programação),35,
784,4,Engenharia de software,35,Engeharia
785,3,Código aberto,35,
786,3,Desenvolvimento de software,35,Analista
787,1,Ciência da computação,35,Analista
